osm_id,osm_type,category,name,name_zh,name_en,brand,opening_hours,wheelchair,air_conditioning,latitude,longitude
11447425894,node,tourist_attraction,大倉南營頭,大倉南營頭,Datsang Southern Camp General Stele,,,,,23.6185245,119.5700875
11447439098,node,tourist_attraction,大倉東營頭,大倉東營頭,,,,,,23.6183743,119.5694426
11447476758,node,tourist_attraction,大倉西營頭,大倉西營頭,Datsang Western Camp General Stele,,,,,23.6181486,119.5673092
11862512171,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5769993,119.5732768
11865304067,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,Mo-Su 07:00-23:00,,,23.5696347,119.5679721
11865323372,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,,,,23.5675396,119.564471
11865323373,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,24/7,,,23.5663879,119.5653596
11865323374,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,24/7,,,23.567245,119.5679533
11865323375,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5673467,119.5676168
11868690383,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5660047,119.5654977
11868690423,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5717756,119.5740646
11868690424,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,24/7,,,23.5718234,119.5744533
11873803862,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,,,,23.5649755,119.584264
11873818977,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,24/7,,,23.5634823,119.5807194
11873818978,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,24/7,,,23.5632974,119.5826064
11917803157,node,tourist_attraction,陸軍用地界柱 防4,陸軍用地界柱 防4,,,,,,23.5640304,119.5610932
11949111955,node,tourist_attraction,Tanpa Nama,,,,,,,23.25726,119.6672085
12043863088,node,tourist_attraction,Tanpa Nama,,,,,,,23.6424351,119.539876
12043863089,node,tourist_attraction,Tanpa Nama,,,,,,,23.6479966,119.543786
12043863090,node,tourist_attraction,Tanpa Nama,,,,,,,23.6534829,119.5476953
12043863091,node,tourist_attraction,Tanpa Nama,,,,,,,23.6586978,119.5514128
12157515866,node,tourist_attraction,澎湖要塞第二地帶標 24,澎湖要塞第二地帶標 24,,,,,,23.555023,119.675152
12157515867,node,tourist_attraction,澎湖要塞第一地帶標 2,澎湖要塞第一地帶標 2,,,,,,23.567172,119.601656
12425158902,node,food_and_drink,紫玉仙草,紫玉仙草,,,,,,23.5677203,119.5680995
12432220763,node,tourist_attraction,Tanpa Nama,,,,,,,23.5914917,119.6131694
12432220766,node,tourist_attraction,鼎灣社區,鼎灣社區,,,,,,23.5911894,119.6131539
12774552974,node,tourist_attraction,陽明妙塔,陽明妙塔,,,,,,23.6035946,119.6508296
12774644244,node,tourist_attraction,Tanpa Nama,,,,,,,23.5274381,119.5706852
12784928087,node,tourist_attraction,澎湖要塞第二地帶標,澎湖要塞第二地帶標,,,,,,23.5714583,119.5768033
12894609201,node,food_and_drink,傳統豆花冰,傳統豆花冰,Traditional Beancurd Shaved Ice,,Mo-Su 09:00-17:00,,,23.6608891,119.6590556
12896536301,node,food_and_drink,湖西小館 （台南擔仔麵）,湖西小館 （台南擔仔麵）,,,"We-Mo 10:00-14:00, 17:00-20:00",,,23.5849835,119.6597892
13110221501,node,shelter,Tanpa Nama,,,,,,,23.5720355,119.5637558
13110242201,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,,,,23.5670511,119.5653832
13110280501,node,food_and_drink,All Fresh,All Fresh,All Fresh,,,,,23.564894,119.5652616
13110385601,node,food_and_drink,Kheh-Thiann,Kheh-Thiann,Kheh-Thiann,,Mo-Su 14:00-00:00,,,23.5663806,119.5639458
13111265470,node,food_and_drink,麥當勞,麥當勞,McDonald's,麥當勞,,,,23.5663501,119.5655238
13111353601,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,,,,23.6323328,119.5993637
13111684601,node,food_and_drink,逸茶嶼,逸茶嶼,Yicha.Yu,,Mo-Su 10:00-19:00,,,23.6619824,119.5704643
13111851062,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,,,,23.5945201,119.5169899
13112287801,node,food_and_drink,Tanpa Nama,,,,,,,23.5664053,119.5691921
13112287901,node,food_and_drink,可不可熟成紅茶,可不可熟成紅茶,Kebuke,可不可熟成紅茶,,,,23.5670668,119.5682148
13114079701,node,tourist_attraction,絕美嗨景,絕美嗨景,Grand Beauty View,,,,,23.6010318,119.6711062
13114082201,node,tourist_attraction,風車陶景,風車陶景,Wind Turbine View,,,,,23.5998727,119.671407
13114273331,node,convenience_store,7-Eleven,7-Eleven,,7-Eleven,,,,23.5847739,119.6595104
13114273333,node,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,,,,23.5849998,119.6590187
13114587401,node,food_and_drink,The Wave House,The Wave House,The Wave House,,,,,23.5673568,119.567814
13114587403,node,food_and_drink,Tanpa Nama,,,,,,,23.5673094,119.5653637
13115663502,node,food_and_drink,Tanpa Nama,,,,,,,23.5684761,119.5693714
13115675902,node,food_and_drink,Nikoni,Nikoni,Nikoni,,,,,23.5696491,119.5701226
13204376963,node,food_and_drink,Dagoya,Dagoya,,,,,,23.5950086,119.5168358
13206227513,node,food_and_drink,澎湖小卷麵館,澎湖小卷麵館,,,"Mo-Su 10:00-15:00,16:30-20:00+",,,23.5241948,119.5988027
13396891206,node,tourist_attraction,蛇頭山,蛇頭山,,,,,,23.5494637,119.5482881
13396891208,node,tourist_attraction,継往開來,継往開來,,,,,,23.5520405,119.5474747
13396891209,node,tourist_attraction,頂天立地,頂天立地,,,,,,23.5520479,119.547478
13616482214,node,tourist_attraction,陸軍用地界柱 防279,陸軍用地界柱 防279,,,,,,23.56936,119.508614
13701588323,node,food_and_drink,爭鮮,爭鮮,Sushi Express,爭鮮,,,,23.5676839,119.5723451
13701689124,node,tourist_attraction,澎湖文化局文馨畫廊,澎湖文化局文馨畫廊,,,,,,23.5711527,119.5774393
13702734390,node,food_and_drink,金醬府,金醬府,,,,,,23.5679261,119.572233
13703369782,node,food_and_drink,咖哩郎丼飯咖哩專賣,咖哩郎丼飯咖哩專賣,,,,,,23.5670894,119.5648993
13718186616,node,food_and_drink,星巴克,星巴克,Starbucks,星巴克,Mo-Su 07:70-21:30,,,23.5678433,119.5758695
13838056487,node,tourist_attraction,Tanpa Nama,,,,,,,23.2577417,119.672129
13838056546,node,food_and_drink,東吉冰厝,東吉冰厝,,,,,,23.2548182,119.6687813
14051293002,node,food_and_drink,Toko Debby,Toko Debby,,,Mo-Su 18:00-21:00,,,23.564653,119.4833828
14063653817,node,shelter,Tanpa Nama,,,,,,,23.4901244,119.5114867
14065705583,node,shelter,Tanpa Nama,,,,,,,23.6616907,119.665627
225400813,way,tourist_attraction,小門地質探索館,小門地質探索館,Xiaomen Geology Gallery,,,,,23.6539816,119.517318
257946566,way,tourist_attraction,綠蠵龜觀光保育中心,綠蠵龜觀光保育中心,,,,yes,,23.3650304,119.506859
257946578,way,tourist_attraction,望安納骨塔,望安納骨塔,,,,,,23.3559191,119.5087878
294455800,way,tourist_attraction,分岔仔,分岔仔,Fenchazi,,,,,23.2048482,119.4431285
295319065,way,tourist_attraction,七美人塚,七美人塚,Seven Beauties Tomb,,,,,23.1924537,119.4263828
330868213,way,tourist_attraction,開臺澎湖天后宮,開臺澎湖天后宮,Penghu Tianhou Temple,,,,,23.5647115,119.5640221
332797863,way,tourist_attraction,中央街,中央街,Zhongyang Street,,,,,23.564771,119.5647636
334405192,way,shelter,Tanpa Nama,,,,,,,23.5794318,119.5806962
378467416,way,shelter,Tanpa Nama,,,,,,,23.568635,119.5624355
383635710,way,convenience_store,全家便利商店,全家便利商店,FamilyMart,全家便利商店,,,,23.19606,119.4195749
383636297,way,convenience_store,7-Eleven,7-Eleven,,7-Eleven,,,,23.1961875,119.4198891
418982216,way,food_and_drink,及林村咖啡,及林村咖啡,Gilly Primavera,,Mo-Su 10:00-19:00,,,23.5593426,119.64281
418982404,way,shelter,Tanpa Nama,,,,,,,23.5589075,119.6424598
480843348,way,tourist_attraction,吉貝石滬文化館,吉貝石滬文化館,,,,,,23.7384756,119.6127115
480856845,way,tourist_attraction,白沙鄉魚加簸嶼紀念館,白沙鄉魚加簸嶼紀念館,,,,,,23.7510326,119.61388
495110461,way,tourist_attraction,西嶼東臺,西嶼東臺,Siyu East Fort,,,,,23.5656938,119.5140913
495121369,way,tourist_attraction,西嶼東臺軍事史蹟園區,西嶼東臺軍事史蹟園區,,,,,,23.5679086,119.5073436
495181586,way,shelter,Tanpa Nama,,,,,,,23.6544222,119.5189511
495181588,way,shelter,Tanpa Nama,,,,,,,23.6545001,119.5190996
495181589,way,shelter,Tanpa Nama,,,,,,,23.6545204,119.5190566
495182194,way,shelter,Tanpa Nama,,,,,,,23.6551289,119.5225655
495182195,way,shelter,Tanpa Nama,,,,,,,23.6548252,119.5235404
495190905,way,tourist_attraction,西台古堡,西台古堡,,,,,,23.5640877,119.4896236
507683778,way,shelter,Tanpa Nama,,,,,,,23.5557027,119.6753645
584853386,way,tourist_attraction,澎湖文化園區,澎湖文化園區,,,,,,23.5704671,119.5772679
584853387,way,tourist_attraction,忠烈祠,忠烈祠,,,,,,23.5696473,119.5772017
674369518,way,tourist_attraction,菜園納骨塔,菜園納骨塔,,,,,,23.5519593,119.600176
687012204,way,tourist_attraction,澎湖警察文物館,澎湖警察文物館,Police Cultural Relic Hall,,,,,23.5632355,119.5635815
687012207,way,food_and_drink,摩斯漢堡,摩斯漢堡,MOS Burger,摩斯漢堡,,,,23.5629361,119.5653643
687050655,way,tourist_attraction,澎湖化石館,澎湖化石館,,,,,,23.5704651,119.5770124
687050656,way,tourist_attraction,二呆藝館,二呆藝館,Erdai Art Museum,,,,,23.5712368,119.5766801
687128062,way,tourist_attraction,澎湖生活博物館,澎湖生活博物館,Penghu Living Museum,,,,,23.5671681,119.5795403
687283761,way,tourist_attraction,澎湖郵便局,澎湖郵便局,Former Penghu Post Office,,,,,23.5634196,119.5639264
687864179,way,tourist_attraction,慈航堂,慈航堂,,,,,,23.5197971,119.5876201
687864180,way,tourist_attraction,陵巖塔,陵巖塔,,,,,,23.5198231,119.5870658
687864185,way,convenience_store,7-Eleven,7-Eleven,,7-Eleven,24/7,,,23.5194675,119.5761533
689444611,way,shelter,Tanpa Nama,,,,,,,23.5793648,119.5129711
689566910,way,food_and_drink,廚房,廚房,,,,,,23.5283303,119.5905164
689566917,way,food_and_drink,廚房,廚房,,,,,,23.5271508,119.5902421
690722016,way,shelter,Tanpa Nama,,,,,,,23.365837,119.5228432
779446389,way,tourist_attraction,馬公市第四公墓,馬公市第四公墓,,,,,,23.5712394,119.5899833
830694208,way,tourist_attraction,澎湖舊發電廠,澎湖舊發電廠,,,,,,23.5681412,119.5706694
833470351,way,food_and_drink,富國海鮮餐廳,富國海鮮餐廳,,,,,,23.5686329,119.573252
839541093,way,tourist_attraction,望安鄉花嶼村納骨堂,望安鄉花嶼村納骨堂,,,,,,23.4047258,119.3233746
881526091,way,tourist_attraction,神像基座廢墟,神像基座廢墟,,,,,,23.6212517,119.5686702
1055856263,way,tourist_attraction,東吉防備衛所（兵厝）,東吉防備衛所（兵厝）,,,,,,23.2577078,119.6768637
1055858590,way,shelter,Tanpa Nama,,,,,,,23.2622533,119.6726776
1055858592,way,shelter,Tanpa Nama,,,,,,,23.2605954,119.6765681
1055858594,way,shelter,Tanpa Nama,,,,,,,23.2584637,119.6714754
1056616692,way,shelter,Tanpa Nama,,,,,,,23.3617939,119.5075808
1056619230,way,shelter,Tanpa Nama,,,,,,,23.380134,119.5052395
1056619233,way,shelter,Tanpa Nama,,,,,,,23.3751391,119.5091411
1056620684,way,shelter,Tanpa Nama,,,,,,,23.3663806,119.5352361
1056620685,way,shelter,Tanpa Nama,,,,,,,23.3669623,119.5404495
1056620687,way,shelter,Tanpa Nama,,,,,,,23.3662542,119.5411621
1056620688,way,shelter,Tanpa Nama,,,,,,,23.3658219,119.5419707
1056620689,way,shelter,Tanpa Nama,,,,,,,23.3657901,119.5420502
1056620692,way,tourist_attraction,望安鄉將軍澳懷親堂,望安鄉將軍澳懷親堂,Huai-gin-tang Columbarium,,,,,23.3696943,119.5298415
1056621007,way,shelter,Tanpa Nama,,,,,,,23.362165,119.5213639
1056621008,way,shelter,Tanpa Nama,,,,,,,23.3657277,119.523693
1056642590,way,shelter,Tanpa Nama,,,,,,,23.3561116,119.5027072
1056642591,way,shelter,Tanpa Nama,,,,,,,23.356103,119.5029391
1056642840,way,food_and_drink,沙灘體驗屋,沙灘體驗屋,,,,,,23.3562649,119.5033933
1056642975,way,food_and_drink,望安民宿小吃部,望安民宿小吃部,,,,,,23.3562205,119.4999088
1056644523,way,shelter,Tanpa Nama,,,,,,,23.359248,119.4901179
1056648903,way,food_and_drink,仙人掌冷飲店、租車,仙人掌冷飲店、租車,,,,,,23.3614392,119.5074645
1056648904,way,food_and_drink,潭門港小吃部 自助餐,潭門港小吃部 自助餐,,,,,,23.3603733,119.5079351
1056651174,way,food_and_drink,站長咖啡,站長咖啡,,,,,,23.3722047,119.4966077
1056653089,way,shelter,Tanpa Nama,,,,,,,23.3721371,119.4951583
1056655092,way,shelter,Tanpa Nama,,,,,,,23.381707,119.5069158
1056656545,way,shelter,Tanpa Nama,,,,,,,23.364451,119.5068452
1056656898,way,shelter,Tanpa Nama,,,,,,,23.3566348,119.5026377
1056660425,way,shelter,Tanpa Nama,,,,,,,23.389386,119.5008414
1056687831,way,shelter,Tanpa Nama,,,,,,,23.3809708,119.4950153
1056690849,way,shelter,Tanpa Nama,,,,,,,23.3630045,119.5209571
1056690850,way,shelter,Tanpa Nama,,,,,,,23.3633021,119.5206989
1056690851,way,shelter,Tanpa Nama,,,,,,,23.3634894,119.5204132
1056690852,way,shelter,Tanpa Nama,,,,,,,23.3628457,119.520969
1060291948,way,shelter,Tanpa Nama,,,,,,,23.7555438,119.6102706
1061105610,way,shelter,Tanpa Nama,,,,,,,23.7466842,119.6056694
1061105613,way,shelter,Tanpa Nama,,,,,,,23.7416712,119.6189574
1061105614,way,shelter,Tanpa Nama,,,,,,,23.7416644,119.6190366
1061109591,way,shelter,Tanpa Nama,,,,,,,23.5640777,119.4774532
1061113314,way,shelter,Tanpa Nama,,,,,,,23.656324,119.556669
1061258644,way,tourist_attraction,七美鄉第一納骨堂,七美鄉第一納骨堂,,,,,,23.2199803,119.4390209
1061258645,way,tourist_attraction,祥園莊,祥園莊,Xiang Yuan Farmstead,,,,,23.2200079,119.4387105
1061258647,way,tourist_attraction,永澤堂,永澤堂,,,,,,23.2200516,119.4382386
1073755945,way,tourist_attraction,廢棄軍營,廢棄軍營,,,,,,23.5619321,119.4769292
1073755946,way,tourist_attraction,Tanpa Nama,,,,,,,23.5620059,119.476823
1073755947,way,tourist_attraction,Tanpa Nama,,,,,,,23.5620977,119.4768879
1073755948,way,tourist_attraction,Tanpa Nama,,,,,,,23.562086,119.4769768
1077575370,way,food_and_drink,海村川味活海鮮,海村川味活海鮮,,,,,,23.5646487,119.4827896
1077575371,way,food_and_drink,漁村川菜活海鮮,漁村川菜活海鮮,,,,,,23.5644033,119.4831995
1077601415,way,food_and_drink,阿美便利小吃部,阿美便利小吃部,,,,,,23.5648644,119.4795464
1077601416,way,food_and_drink,福氣早餐 - 外垵刈包,福氣早餐 - 外垵刈包,,,,,,23.5646309,119.479497
1078263953,way,tourist_attraction,Tanpa Nama,,,,,,,23.5656305,119.5140887
1078283759,way,shelter,Tanpa Nama,,,,,,,23.574683,119.513416
1078736801,way,shelter,Tanpa Nama,,,,,,,23.5711243,119.5039939
1078760259,way,shelter,Tanpa Nama,,,,,,,23.5858169,119.5044462
1078760266,way,shelter,Tanpa Nama,,,,,,,23.5785812,119.5094508
1078760268,way,shelter,Tanpa Nama,,,,,,,23.579724,119.5107575
1078760269,way,shelter,Tanpa Nama,,,,,,,23.5796604,119.5102322
1078760282,way,tourist_attraction,Tanpa Nama,,,,,,,23.5772136,119.5048551
